id,salesId,orderDate,userName,email,mobile,type,itemName,size,customName,quantity,itemAmount,discount,orderAmount,address,paymentMethod
"1","SH26OG0020","1/1/2026, 8:00:46 pm","Eshwar Sai","vuppalaeshwarsai@gmail.com","09949049990","PASS","GOLD","—","—","10","₹7990.00","₹8000.00","₹-10.00","Pickup","CASH"
"2","SH26OG0019","1/1/2026, 6:43:31 pm","Chintha Vishnu Vardhan","ce23b005@smail.iitm.ac.in","09398979776","ITEM","Zipper Hoodie (Custom)","XS","vishnu","1","₹649.00","₹100.00","₹1198.00","ewffdddddddddqf","CASH"
"3","SH26OG0019","1/1/2026, 6:43:31 pm","Chintha Vishnu Vardhan","ce23b005@smail.iitm.ac.in","09398979776","PASS","SILVER","—","—","1","₹649.00","₹100.00","₹1198.00","ewffdddddddddqf","CASH"
"4","SH26OG0018","1/1/2026, 5:53:37 pm","1","3","2","PASS","PLATINUM","—","—","1","₹899.00","₹0.00","₹899.00","Pickup","CASH"
"5","SH26OG0017","1/1/2026, 5:53:20 pm","1","3","2","PASS","GOLD","—","—","1","₹799.00","₹0.00","₹799.00","Pickup","CASH"
"6","SH26OG0016","1/1/2026, 5:53:06 pm","1","3","2","PASS","STANDARD","—","—","1","₹499.00","₹0.00","₹499.00","Pickup","CASH"
"7","SH26OG0015","1/1/2026, 5:52:29 pm","dummy","asd","5sfes","PASS","SILVER","—","—","4","₹2596.00","₹0.00","₹2596.00","Pickup","CASH"
"8","SH26OG0014","1/1/2026, 5:51:17 pm","Dummy","dum@dummy.com","123","COMBO","Pixel Titan Combo","—","—","1","₹1497.00","₹300.00","₹37422.00","address","CASH"
"9","SH26OG0014","1/1/2026, 5:51:17 pm","Dummy","dum@dummy.com","123","COMBO","Pixel Titan Combo","—","—","1","₹1497.00","₹300.00","₹37422.00","address","CASH"
"10","SH26OG0014","1/1/2026, 5:51:17 pm","Dummy","dum@dummy.com","123","COMBO","Pixel Titan Combo","—","—","1","₹1497.00","₹300.00","₹37422.00","address","CASH"
"11","SH26OG0014","1/1/2026, 5:51:17 pm","Dummy","dum@dummy.com","123","COMBO","Pixel Titan Combo","—","—","1","₹1497.00","₹300.00","₹37422.00","address","CASH"
"12","SH26OG0014","1/1/2026, 5:51:17 pm","Dummy","dum@dummy.com","123","COMBO","Pixel Titan Combo","—","—","1","₹1497.00","₹300.00","₹37422.00","address","CASH"
"13","SH26OG0014","1/1/2026, 5:51:17 pm","Dummy","dum@dummy.com","123","COMBO","Pixel Titan Combo","—","—","1","₹1497.00","₹300.00","₹37422.00","address","CASH"
"14","SH26OG0014","1/1/2026, 5:51:17 pm","Dummy","dum@dummy.com","123","COMBO","Ultimate Artifact Combo","—","—","1","₹1846.00","₹300.00","₹37422.00","address","CASH"
